Ma_BDS,Dia_chi,Tong_gia (trieu),Tien_m2 (trieu/m2),Loại hình,Chiều ngang,Chiều dài,Hướng cửa chính,Số phòng ngủ,Số phòng tắm,Số tầng,Diện tích đất công nhận,Diện tích sử dụng,Đường trước nhà,Nội thất,Giấy tờ pháp lý
UYHNRS,"MPN 37/38/5 Lâm Thị Hố, P.Tân Chánh Hiệp, Q.12, TP.HCM",5580000.0,99.82,Nhà hẻm,4m,13.98m,Bắc,3.0,4.0,3.0,55.90m²,134.40m²,,,
9TN3EP,"46/37K Nhiêu Tứ, P.7, Q.Phú Nhuận, TP.HCM",6300000.0,277.53,Nhà hẻm,2.8m,9.77m,Tây Nam,3.0,3.0,3.0,22.70m²,,,,
400ZMF,"192/27/20/16 Thạnh Lộc 15, P.Thạnh Lộc, Q.12, TP.HCM",5590000.0,110.47,Nhà hẻm,4.7m,11.04m,Tây Nam,4.0,4.0,5.0,50.60m²,,,,
YBKQZD,"280/12A Thống Nhất, P.16, Q.Gò Vấp, TP.HCM",5800000.0,161.11,Nhà hẻm,2.8m,8.18m,Bắc,4.0,3.0,3.0,36m²,96m²,4m,,
1Q1AB6,"Bạch Đằng, P.14, Q.Bình Thạnh, TP.HCM",16000000.0,156.86,Nhà hẻm,6.78m,14.9m,Đông,5.0,3.0,3.0,102m²,210.10m²,4.62m,Đầy đủ,
UKFDVS,"254/49/1E Âu Cơ, P.9, Q.Tân Bình, TP.HCM",8600000.0,186.55,Nhà hẻm,3.73m,9.95m,Đông Bắc,4.0,3.0,4.0,46.10m²,130m²,,,
GXBA62,"208/26/72 đường số 5, P.Bình Hưng Hòa, Q.Bình Tân, TP.HCM",25000000.0,70.62,Nhà hẻm,7m,50.75m,Tây Nam,1.0,4.0,5.0,354m²,928.82m²,5m,,
WP383R,"91/17/14 Trần Tấn, P.Tân Sơn Nhì, Q.Tân Phú, TP.HCM",4900000.0,85.06,Nhà hẻm,4m,14.4m,Đông Nam,3.0,2.0,2.0,57.60m²,88m²,,,
QAWWZU,"290C/43/12/2 Dương Bá Trạc, P.Rạch Ông, Q.8, TP.HCM",3980000.0,125.15,Nhà hẻm,5.26m,6.67m,Tây Bắc,4.0,3.0,3.0,31.80m²,,2m,,
6SDSV8,"124/18 Thạnh Lộc 19, P.An Phú Đông, Q.12, TP.HCM",6700000.0,121.15,Nhà hẻm,5.5m,10.1m,Tây Bắc,4.0,5.0,5.0,55.30m²,,5m,,
5HEFD7,"136/54D Trần Quang Diệu, P.14, Q.3, TP.HCM",6900000.0,226.97,Nhà hẻm,3.3m,9.2m,Tây Nam,4.0,4.0,5.0,30.40m²,127.80m²,,,
J2NRP0,"193/17/14 đường số 6, P.Bình Hưng Hoà B, Q.Bình Tân, TP.HCM",4050000.0,82.99,Nhà hẻm,4m,11.3m,Bắc,2.0,2.0,2.0,48.80m²,71.80m²,,,
CW06GB,"55/13/2A đường 18B, P.Bình Hưng Hoà A, Q.Bình Tân, TP.HCM",4450000.0,109.06,Nhà hẻm,4.08m,10.74m,Đông Bắc,2.0,2.0,3.0,40.80m²,116.20m²,5.98m,,
37D7NQ,"86/99/26 Âu Cơ, P.9, Q.Tân Bình, TP.HCM",7400000.0,176.19,Nhà hẻm,3.55m,11.75m,Tây,4.0,4.0,3.0,42m²,128.40m²,3.5m,,
6UH3Z8,"132/13/16/7/10 Mã Lò, P.Bình Trị Đông A, Q.Bình Tân, TP.HCM",2000000.0,132.45,Nhà hẻm,2.5m,5.6m,Bắc,2.0,2.0,2.0,15.10m²,31.80m²,2m,,
GVQ9T2,"497/83/24 Thống Nhất, P.16, Q.Gò Vấp, TP.HCM",5580000.0,136.09,Nhà hẻm,3.4m,12.18m,Đông Bắc,3.0,2.0,2.0,41m²,69m²,,,
37PF2Q,"11/25 đường số 1C, P.Bình Hưng Hoà A, Q.Bình Tân, TP.HCM",3950000.0,126.6,Nhà hẻm,4m,7.66m,Đông Bắc,2.0,2.0,2.0,31.20m²,58m²,4m,,
QAHDCU,"201/3 Tạ Quang Bửu, P.Rạch Ông, Q.8, TP.HCM",5980000.0,101.52,Nhà hẻm,3.53m,17.75m,Tây Bắc,3.0,1.0,2.0,58.90m²,,3m,,
RGT29J,"86/99/28 Âu Cơ, P.9, Q.Tân Bình, TP.HCM",8300000.000000001,152.01,Nhà hẻm,3.52m,15.24m,Tây,4.0,4.0,3.0,54.60m²,128.30m²,3m,,
8579Q3,"62/70 Lý Chính Thắng, P.8, Q.3, TP.HCM",7100000.0,299.57,Nhà hẻm,3.4m,7.35m,Đông Bắc,4.0,4.0,5.0,23.70m²,100.80m²,4m,,
ACCWPY,"745/136/14 Quang Trung, P.12, Q.Gò Vấp, TP.HCM",3930000.0,109.41,Nhà hẻm,8.18m,4.6m,Nam,2.0,2.0,3.0,36m²,47.20m²,3m,,
0Z2VA9,"9/70/13 Thạnh Xuân 24, P.Thới An, Q.12, TP.HCM",5700000.0,108.36,Nhà hẻm,4.02m,13.35m,Đông Bắc,3.0,4.0,3.0,52.60m²,105.50m²,4m,,
Q7QH0U,"713/25/5/1 An Dương Vương, P.Bình Trị Đông, Q.Bình Tân, TP.HCM",5850000.0,141.3,Nhà hẻm,3.95m,10.06m,Nam,3.0,2.0,3.0,41.40m²,97.90m²,6.5m,,
4JNPRF,"53/127/30/41 đường số 4, P.Bình Hưng Hoà B, Q.Bình Tân, TP.HCM",3950000.0,82.46,Nhà hẻm,4.01m,12m,Bắc,2.0,1.0,2.0,47.90m²,,4m,,
PQHHGA,"Đường Tây Lân, P.Bình Trị Đông A, Q.Bình Tân, TP.HCM",2600000.0,0.0,Nhà hẻm,4m,11.5m,Tây Bắc,2.0,1.0,2.0,46m²,72.90m²,,Cơ bản,
GXJ7Z2,"54/31 Duy Tân, P.8, Q.Tân Bình, TP.HCM",9500000.0,163.79,Nhà hẻm,4.3m,16.1m,Đông Bắc,4.0,4.0,4.0,58m²,182.60m²,3.5m,,
85PSQ3,"618/72/6 Quang Trung, P.11, Q.Gò Vấp, TP.HCM",4099999.9999999995,119.18,Nhà hẻm,3.45m,10.9m,Đông Bắc,2.0,2.0,2.0,34.40m²,85.60m²,3.5m,,
7KRRVA,"546/42 Điện Biên Phủ, P.10, Q.10, TP.HCM",5100000.0,196.91,Nhà hẻm,3.7m,7.94m,Đông Nam,3.0,3.0,4.0,25.90m²,103.60m²,2.5m,,
85CKJ3,"115/2 đường C18, P.12, Q.Tân Bình, TP.HCM",23500000.0,214.8,Nhà hẻm,8.62m,15.93m,Bắc,6.0,3.0,3.0,109.40m²,256.50m²,4m,,
GX3AK2,"350/7/34 Chiến Lược, P.Bình Trị Đông, Q.Bình Tân, TP.HCM",6600000.0,148.64,Nhà hẻm,4.4m,11.99m,Tây Nam,4.0,4.0,3.0,44.40m²,132m²,3.99m,,Sổ riêng
GX8H42,"91/26/20 Trần Tấn, P.Tân Sơn Nhì, Q.Tân Phú, TP.HCM",8199999.999999999,153.27,Nhà hẻm,3.9m,13.56m,Tây Bắc,4.0,4.0,4.0,53.50m²,165.40m²,,,
WPTXSR,"490/9 Hà Huy Giáp, P.Thạnh Lộc, Q.12, TP.HCM",4250000.0,50.41,Nhà hẻm,4m,21.55m,Đông Nam,2.0,1.0,2.0,84.30m²,65.90m²,5m,,
DEEJ0H,"88/69/6/10 Nguyễn Văn Quỳ, P.Phú Thuận, Q.7, TP.HCM",7200000.0,109.09,Nhà hẻm,4.93m,15.85m,Đông,4.0,5.0,4.0,66m²,193.50m²,,Đầy đủ,
1UUAD6,"17 Nguyễn Triệu Luật, P.Tân Tạo, Q.Bình Tân, TP.HCM",11000000.0,76.92,Nhà hẻm,5.88m,22.72m,Đông Bắc,4.0,4.0,4.0,143m²,333.70m²,,,
9TZVCP,"3/89 Hà Huy Giáp, P.Thạnh Lộc, Q.12, TP.HCM",5250000.0,61.54,Nhà hẻm,6.9m,14.27m,Tây Nam,2.0,2.0,2.0,85.30m²,93.50m²,2.54m,,
CWEY5B,"140/95 Thạnh Xuân 25, P.Thạnh Xuân, Q.12, TP.HCM",6650000.0,114.65,Nhà hẻm,4m,14.5m,Đông,4.0,5.0,5.0,58m²,234.30m²,,,
6U6DK8,"172A/4 Lạc Long Quân, P.10, Q.11, TP.HCM",4380000.0,201.84,Nhà hẻm,3.09m,6.83m,Đông Bắc,2.0,1.0,2.0,21.70m²,55.20m²,,,
RPSZHJ,"88/18 Bùi Dương Lịch, P.Bình Hưng Hoà B, Q.Bình Tân, TP.HCM",2950000.0,69.08,Nhà hẻm,4.1m,10.4m,Tây Bắc,2.0,1.0,2.0,42.70m²,60.30m²,3m,,
RZ2PGJ,"656/6 Quang Trung, P.11, Q.Gò Vấp, TP.HCM",50000000.0,251.63,Nhà hẻm,7.55m,24.63m,Tây,75.0,75.0,8.0,198.70m²,,6m,,Sổ riêng
40AQJF,"76/10/7/14 Nguyễn Sơn, P.Phú Thọ Hòa, Q.Tân Phú, TP.HCM",4300000.0,85.31,Nhà hẻm,4.1m,12.15m,Tây Bắc,2.0,2.0,2.0,50.40m²,71.30m²,,,
QA0YBU,"80/12/41 Dương Quảng Hàm, P.5, Q.Gò Vấp, TP.HCM",15000000.0,123.88,Nhà hẻm,7.86m,20.22m,Tây Nam,5.0,5.0,1.0,126.75m²,,5.12m,,
PNTAJG,"62/8/2A đường số 6, Bình Trưng Tây, Q.2, TP.HCM",4500000.0,80.64,Nhà hẻm,4.14m,14m,Nam,1.0,1.0,1.0,55.80m²,55.80m²,,,
6S3X98,"180/6 Thạnh Xuân 22, P.Thạnh Xuân, Q.12, TP.HCM",7450000.0,90.08,Nhà hẻm,5.4m,14.83m,Tây Bắc,4.0,4.0,4.0,82.70m²,212.20m²,,,
353NTQ,"469/6 Nguyễn Oanh, P.17, Q.Gò Vấp, TP.HCM",7200000.0,76.27,Nhà hẻm,4.7m,18.71m,Đông Nam,1.0,1.0,1.0,94.40m²,125.70m²,5.52m,,
C4PZCB,"407/8 Sư Vạn Hạnh, P.12, Q.10, TP.HCM",27000000.0,451.5,Nhà hẻm,4.26m,14m,Đông Nam,4.0,3.0,5.0,59.80m²,236.10m²,6m,,Sổ riêng
9N2E1P,"20/58/21 Thạnh Xuân 24, P.Thạnh Xuân, Q.12, TP.HCM",5300000.0,100.18,Nhà hẻm,4m,13.23m,Tây Nam,4.0,3.0,3.0,52.90m²,116.40m²,7m,,
85BW23,"564/3H Phạm Văn Chiêu, P.16, Q.Gò Vấp, TP.HCM",6980000.0,149.46,Nhà hẻm,4.12m,10.84m,Bắc,3.0,3.0,3.0,46.70m²,,,,
7KRRUA,"Thiên Phước, P.9, Q.Tân Bình, TP.HCM",5600000.0,191.51,Nhà hẻm,3.4m,8.6m,Đông Bắc,3.0,2.0,2.0,29.24m²,56.44m²,2.8m,,
5H4ZJ7,"389/8 Tỉnh Lộ 10, P.An Lạc A, Q.Bình Tân, TP.HCM",16000000.0,135.82,Nhà hẻm,5m,19.89m,Đông Nam,4.0,2.0,2.0,117.80m²,,,,
WP2KPR,"24/15/26 Trương Phước Phan, P.Bình Trị Đông, Q.Bình Tân, TP.HCM",2950000.0,140.47,Nhà hẻm,2.89m,7.4m,Đông,2.0,2.0,2.0,21m²,32.80m²,1.64m,,
RG2BCJ,"143/8/6 đường số 11, P.11, Q.Gò Vấp, TP.HCM",7000000.0,128.91,Nhà hẻm,5.78m,8.33m,Đông Nam,4.0,3.0,4.0,54.30m²,173.20m²,,,
5HHHD7,"1/20/4 Hiệp thành 33, P.Hiệp Thành, Q.12, TP.HCM",3590000.0,89.75,Nhà hẻm,4m,10m,Tây Bắc,2.0,2.0,2.0,40m²,42m²,3m,,
85S2A3,"417/69/52 Quang Trung, P.10, Q.Gò Vấp, TP.HCM",5400000.0,98.72,Nhà hẻm,4m,13.72m,Đông Bắc,3.0,2.0,2.0,54.70m²,110.20m²,3.7m,,
SDYB35,"442/119/49/17A Quốc Lộ 1A, P.An Phú Đông, Q.12, TP.HCM",4380000.0,84.23,Nhà hẻm,4m,13m,Tây Nam,3.0,2.0,2.0,52m²,96m²,3.5m,,
SAGKW5,"Bình Giã, P.13, Q.Tân Bình, TP.HCM",17500000.0,231.78,Nhà hẻm,5.05m,14.85m,Đông Bắc,3.0,4.0,4.0,75.50m²,211m²,6m,,
QQMSUQ,"Trần Đình Xu, P.Cô Giang, Q.1, TP.HCM",7200000.0,161.79,Nhà hẻm,6.1m,8.14m,,3.0,2.0,2.0,44.50m²,89m²,2m,,
KFUXSC,"Thửa 60 - Tờ 63, 30/11 Bến Than, Xã Tân Thạnh Đông, H.Củ Chi, TP.HCM",4200000.0,11.6,Nhà hẻm,14.33m,25.62m,Tây Nam,2.0,2.0,1.0,362m²,,5m,,
QABAAU,"176/27/17/18 Thạnh Xuân 25, P.Thạnh Xuân, Q.12, TP.HCM",5680000.0,113.6,Nhà hẻm,5m,10m,Đông Bắc,3.0,2.0,3.0,50m²,138.90m²,7m,,
7KFTBA,"480/2A Mã Lò, P.Bình Hưng Hoà A, Q.Bình Tân, TP.HCM",6380000.0,101.1,Nhà hẻm,4m,15.9m,Đông Bắc,4.0,5.0,4.0,63.10m²,129.71m²,7.52m,,
40P9GF,"713/29 Lê Đức Thọ, P.16, Q.Gò Vấp, TP.HCM",5980000.0,134.38,Nhà hẻm,7.23m,6.05m,Tây Bắc,3.0,3.0,2.0,44.50m²,81.50m²,,,
UYABAS,"123/3 Thạnh Lộc 40, P.An Phú Đông, Q.12, TP.HCM",7590000.0,118.77,Nhà hẻm,4m,16m,Đông Bắc,5.0,4.0,5.0,63.90m²,242.30m²,12m,,
RG92TJ,"F1/1S Ấp 6C, Xã Vĩnh Lộc A, H.Bình Chánh, TP.HCM",4200000.0,52.17,Nhà hẻm,4m,20.2m,Bắc,2.0,1.0,1.0,80.50m²,76.90m²,5m,,
GNG032,"MPN 104/10 Thạnh Xuân 22, P.Thạnh Xuân, Q.12, TP.HCM",5530000.0,106.34,Nhà hẻm,4m,13m,Tây Bắc,4.0,4.0,4.0,52m²,113.30m²,4m,,
8S8TE3,"123/45A Lê Lợi, P.3, Q.Gò Vấp, TP.HCM",6900000.0,60.0,Nhà hẻm,3.2m,17.8m,Bắc,7.0,7.0,3.0,115m²,278.60m²,2.5m,,Sổ riêng
SDV2Z5,"114/8/19/2 Chiến Lược, P.Bình Trị Đông, Q.Bình Tân, TP.HCM",4500000.0,181.45,Nhà hẻm,3m,9m,Tây,3.0,3.0,4.0,24.80m²,81.60m²,4.69m,,
0ZCF59,"98/20/10 Lâm Thị Hố, P.Tân Chánh Hiệp, Q.12, TP.HCM",4820000.0,78.5,Nhà hẻm,4.1m,14.94m,Tây Nam,2.0,2.0,2.0,61.40m²,90.90m²,4.5m,,
YBNCJD,"801/1/7 Hà Huy Giáp, P.Thạnh Xuân, Q.12, TP.HCM",5280000.0,75.86,Nhà hẻm,5.52m,12.67m,Tây Bắc,4.0,5.0,3.0,69.60m²,152.70m²,7m,,
7KW3EA,"320/17 Trường Chinh, P.13, Q.Tân Bình, TP.HCM",6500000.0,107.97,Nhà hẻm,2.77m,22.92m,Đông Bắc,2.0,1.0,2.0,60.20m²,97.40m²,,,
7KFQFA,"763/5/18/9 Trường Chinh, P.Tây Thạnh, Q.Tân Phú, TP.HCM",4800000.0,107.86,Nhà hẻm,5m,8.95m,Bắc,3.0,2.0,3.0,44.50m²,110.10m²,2.2m,,
37KE8Q,"Nguyễn Thị Căn, P.Tân Thới Hiệp, Q.12, TP.HCM",3060000.0,107.36,Nhà hẻm,3.3m,8.63m,Bắc,3.0,2.0,2.0,28.50m²,57m²,3.25m,,
5HEED7,"94/15 Thạnh Lộc 16, P.Thạnh Lộc, Q.12, TP.HCM",4850000.0,103.85,Nhà hẻm,4m,11.71m,Tây Nam,4.0,3.0,3.0,46.70m²,135.20m²,,,
409PZF,"8/4 Thạnh Xuân 13, P.Thới An, Q.12, TP.HCM",7500000.0,120.38,Nhà hẻm,4m,15.77m,Tây Bắc,4.0,4.0,5.0,62.30m²,188.40m²,8m,,
6S55N8,"231/11 Nguyễn Duy Dương, P.4, Q.10, TP.HCM",4580000.0,216.03,Nhà hẻm,5.93m,4.67m,Tây Bắc,2.0,3.0,3.0,21.20m²,42.40m²,3m,,
DEBJ9H,"915/3 Luỹ Bán Bích, P.Tân Thành, Q.Tân Phú, TP.HCM",11000000.0,113.16,Nhà hẻm,6.25m,17.4m,Đông Bắc,2.0,2.0,2.0,97.20m²,88.60m²,2.66m,,
8URUU3,"140/9 Phạm Văn Chiêu, P.9, Q.Gò Vấp, TP.HCM",6400000.0,189.91,Nhà hẻm,5m,8m,Tây Nam,4.0,4.0,5.0,33.70m²,146.30m²,3.6m,,
UD5Y0S,"116/1 Thạnh Lộc 29, P.Thạnh Lộc, Q.12, TP.HCM",6360000.0,126.6,Nhà hẻm,4m,12.58m,Tây Nam,3.0,4.0,5.0,50.30m²,,5m,Đầy đủ,
0ZKXR9,"443/6C Chiến Lược, P.Tân Tạo, Q.Bình Tân, TP.HCM",5700000.0,77.34,Nhà hẻm,4.02m,18m,Đông,3.0,2.0,2.0,73.70m²,112.20m²,,,
WPQGGR,"736/137/1 Lê Đức Thọ, P.15, Q.Gò Vấp, TP.HCM",6950000.0,155.48,Nhà hẻm,8.44m,5.33m,Đông Bắc,3.0,3.0,4.0,44.70m²,141.40m²,,,
1UHH56,"336/43C Nguyễn Văn Luông, P.12, Q.6, TP.HCM",5300000.0,95.84,Nhà hẻm,3.75m,14.5m,Nam,2.0,2.0,3.0,55.30m²,118.70m²,,,
WPTWTR,"129/47/18 Bùi Văn Ngữ, P.Hiệp Thành, Q.12, TP.HCM",2850000.0,112.64,Nhà hẻm,3.19m,8.24m,Đông Bắc,2.0,2.0,2.0,25.30m²,50.60m²,5m,,
SDYMW5,"539/17A Cách Mạng Tháng 8, P.15, Q.10, TP.HCM",6000000.0,110.49,Nhà hẻm,6.5m,8m,Đông,1.0,1.0,1.0,54.30m²,54.30m²,2.8m,,
SDYY15,"76/22/14 Lê Lợi, P.3, Q.Gò Vấp, TP.HCM",15800000.0,188.09,Nhà hẻm,7.19m,12.38m,Tây Nam,20.0,20.0,6.0,84m²,369.30m²,,,
85SS03,"75/9/2 và 75/9/6 Trần Văn Đang, P.9, Q.3, TP.HCM",8500000.0,227.88,Nhà hẻm,5.56m,7.7m,Đông Nam,9.0,9.0,5.0,37.30m²,155.90m²,,,
5DJF57,"400/96 An Dương Vương, P.16, Q.8, TP.HCM",6500000.0,154.76,Nhà hẻm,4m,10.5m,Bắc,4.0,3.0,3.0,42m²,112m²,8m,,
SC6CE5,"tỉnh 743, Tân Đông Hiệp, Dĩ An, TP.HCM",8500000.0,29.82,Nhà hẻm,10m,28m,,10.0,6.0,1.0,285m²,285m²,,,
K42E3C,"198/10E Hồ Học Lãm, P.An Lạc, Q.Bình Tân, TP.HCM",3900000.0,107.43,Nhà hẻm,3m,14.81m,Đông Bắc,2.0,2.0,2.0,36.30m²,60m²,2.5m,,
9ZMVAP,"26/33 Huỳnh Đình Hai, P.24, Q.Bình Thạnh, TP.HCM",13500000.0,261.62,Nhà hẻm,4m,12m,Đông,3.0,4.0,5.0,51.60m²,196.20m²,4m,,
GMDY52,"290/40/41/1 Hiep Thành 17, P.Hiệp Thành, Q.12, TP.HCM",2049999.9999999998,123.49,Nhà hẻm,6m,4m,Đông Nam,2.0,2.0,2.0,16.60m²,,,,
QAY6SU,"1358/4 Quang Trung, P.14, Q.Gò Vấp, TP.HCM",15500000.0,126.11,Nhà hẻm,6.22m,19.65m,Tây Bắc,4.0,4.0,4.0,122.90m²,296.10m²,,,
UYAT0S,"Lê Quang Định, P.1, Q.Gò Vấp, TP.HCM",6950000.0,143.89,Nhà hẻm,3.35m,13.45m,Đông Bắc,2.0,2.0,2.0,48.30m²,85.20m²,4.7m,,
J2P740,"872/56/11A Quang Trung, P.8, Q.Gò Vấp, TP.HCM",6800000.0,83.53,Nhà hẻm,4.13m,20.02m,Tây Bắc,5.0,5.0,1.0,81.40m²,,3.92m,,
02T159,"15/40/51 đường số 59, P.14, Q.Gò Vấp, TP.HCM",3950000.0,182.02,Nhà hẻm,3.2m,8.25m,Tây Nam,2.0,2.0,2.0,21.70m²,43.40m²,3.04m,,
KE7M8C,"818/55/4 Nguyễn Kiệm, P.3, Q.Gò Vấp, TP.HCM",1950000.0,148.85,Nhà hẻm,4.93m,2.88m,Đông Nam,1.0,1.0,2.0,13.10m²,26.20m²,2m,,
8565X3,"257/80/60D ấp 2, Xã Đông Thạnh, H.Hóc Môn, TP.HCM",3700000.0,72.54,Nhà hẻm,4.01m,12.75m,Đông,2.0,2.0,2.0,51m²,101.20m²,5m,Bàn giao thô,
PNR5ZG,"189/12/24 Đình Phong Phú, Tăng Nhơn Phú B, Q.9, TP.HCM",8600000.0,131.49,Nhà hẻm,4m,18.5m,Đông Bắc,4.0,5.0,4.0,65.40m²,183.90m²,,,
1UNB26,"189/12/22 Đình Phong Phú, Tăng Nhơn Phú B, Q.9, TP.HCM",8600000.0,130.89,Nhà hẻm,4m,18.5m,Đông Bắc,4.0,5.0,4.0,65.70m²,182.80m²,,,
CW391B,"479/19 Nguyễn Bình, Xã Phú Xuân, H.Nhà Bè, TP.HCM",5100000.0,54.54,Nhà hẻm,5m,18.66m,Đông Nam,2.0,1.0,1.0,93.50m²,68.30m²,2.5m,,
KFT6RC,"45/23/3 Hàn Hải Nguyên, P.16, Q.11, TP.HCM",4700000.0,147.33,Nhà hẻm,3.05m,10.25m,Đông Bắc,3.0,3.0,4.0,31.90m²,74.20m²,,,
2MS6AZ,"373/15A Trần Xuân Soạn, P.Tân Hưng, Q.7, TP.HCM",3550000.0,129.56,Nhà hẻm,3.57m,7.6m,Tây Bắc,2.0,2.0,2.0,27.40m²,34.90m²,,,
EJ0B24,"128A/28 Nguyễn Chí Thanh, P.2, Q.10, TP.HCM",3380000.0,195.37,Nhà hẻm,5.3m,3.35m,Tây Bắc,2.0,3.0,3.0,17.30m²,51.90m²,1.6m,,
ACK5KY,"213/2/8 Quang Trung, P.10, Q.Gò Vấp, TP.HCM",6600000.0,127.65,Nhà hẻm,4.75m,12.08m,Nam,2.0,2.0,2.0,51.70m²,95.08m²,3m,,
EJWGS4,"353/4/2 Quang Trung, P.10, Q.Gò Vấp, TP.HCM",6370000.0,143.99,Nhà hẻm,4.15m,10.85m,Tây Nam,3.0,3.0,2.0,44.30m²,75.20m²,2.51m,,
85SJQ3,"395/30 Lê Quang Định, P.7, Q.Bình Thạnh, TP.HCM",1750000.0,324.07,Nhà hẻm,2m,4.07m,Nam,2.0,2.0,2.0,5.40m²,,2.97m,,
DBGWYH,"687/71 Quốc Lộ 1, P.Bình Hưng Hòa, Q.Bình Tân, TP.HCM",8500000.0,153.7,Nhà hẻm,4m,13.5m,Đông Nam,4.0,4.0,5.0,55.30m²,,5m,,
6WY48Y,"2B/1/36 Bạch Đằng, P.2, Q.Tân Bình, TP.HCM",27500000.0,252.52,Nhà hẻm,5.5m,22.4m,Tây Bắc,3.0,3.0,3.0,108.90m²,172.50m²,4m,Cơ bản,
40U7NF,"71/45 Thạnh Lộc 08, P.Thạnh Xuân, Q.12, TP.HCM",4099999.9999999995,51.25,Nhà hẻm,4m,20m,Bắc,2.0,1.0,2.0,80m²,68m²,,,
0Z6B49,"408/44 Bình Thành, P.Bình Hưng Hoà B, Q.Bình Tân, TP.HCM",4800000.0,59.33,Nhà hẻm,4.18m,17.8m,Bắc,2.0,1.0,1.0,80.90m²,74.20m²,,,
QAYDTU,"An Dương Vương, P.An Lạc, Q.Bình Tân, TP.HCM",6500000.0,108.33,Nhà hẻm,4m,15.04m,Nam,2.0,2.0,2.0,60m²,91m²,5m,,
7KDK5A,"84/2A Ấp Chiến Lược, P.Bình Hưng Hoà A, Q.Bình Tân, TP.HCM",11000000.0,94.74,Nhà hẻm,8.4m,13.46m,Tây Nam,1.0,1.0,1.0,116.10m²,77.40m²,6m,,
KFBWFC,"48/5 Nguyễn Hiến Lê, P.13, Q.Tân Bình, TP.HCM",19000000.0,180.95,Nhà hẻm,5m,21m,Đông Nam,5.0,5.0,4.0,105m²,254.60m²,4.7m,,Sổ riêng
87HMA3,"453/16 An Phú Đông 35, P.An Phú Đông, Q.12, TP.HCM",7200000.0,87.48,Nhà hẻm,4m,20.67m,Tây Bắc,4.0,4.0,3.0,82.30m²,165.10m²,12m,,
37ZACQ,"161/14 đường số 4, P.16, Q.Gò Vấp, TP.HCM",7990000.0,220.11,Nhà hẻm,3.32m,10.27m,Nam,3.0,3.0,5.0,36.30m²,141.60m²,4.83m,,
372CRQ,"551/110/5 Lê Văn Khương, P.Hiệp Thành, Q.12, TP.HCM",3290000.0,97.62,Nhà hẻm,4.02m,10.74m,Bắc,2.0,1.0,2.0,33.70m²,54.20m²,5.5m,,
9TDBKP,"180/8 Thạnh Lộc 15, P.Thạnh Lộc, Q.12, TP.HCM",1650000.0,82.08,Nhà hẻm,5m,4.02m,Đông Bắc,1.0,1.0,2.0,20.10m²,43.20m²,2m,,
CW1ENB,"61/5 Thạnh Xuân 38, P.Thới An, Q.12, TP.HCM",7300000.0,123.51,Nhà hẻm,4m,16.97m,Tây Bắc,4.0,5.0,5.0,59.10m²,207m²,7m,,
1U7DY6,"161D/104A/18 Lạc Long Quân, P.3, Q.11, TP.HCM",10200000.0,227.17,Nhà hẻm,4m,11.2m,Tây Bắc,4.0,5.0,6.0,44.90m²,231.80m²,,,
YKQ31D,"8/19/21/16 Thạnh Xuân 40, P.Thạnh Xuân, Q.12, TP.HCM",4390000.0,66.51,Nhà hẻm,4m,16.5m,Đông Nam,3.0,2.0,2.0,66m²,84m²,4m,,
QAX6MU,"đường số 2, P.3, Q.Gò Vấp, TP.HCM",2800000.0,264.15,Nhà hẻm,3.48m,4.62m,Tây Nam,2.0,1.0,2.0,10.60m²,21.20m²,1.66m,,
J2S2R0,"Cách Mạng Tháng Tám, P.12, Q.10, TP.HCM",4250000.0,91.59,Nhà hẻm,3.11m,12.73m,Tây Bắc,2.0,2.0,2.0,46.40m²,,2m,,
CF5UYB,"55/3 ( Thửa 524 - tờ 14) ấp Lào Táo, Xã Trung Lập Hạ, H.Củ Chi, TP.HCM",1200000.0,11.18,Nhà hẻm,4.19m,26.04m,Đông Bắc,3.0,1.0,1.0,107.30m²,,,,
6UWEG8,"486/24 Phan Xích Long, P.4, Q.Phú Nhuận, TP.HCM",15860000.0,291.54,Nhà hẻm,4.05m,20.9m,Tây Bắc,5.0,5.0,4.0,54.40m²,163.60m²,4.8m,,
7K9VCA,"417/49/47 Quang Trung, P.10, Q.Gò Vấp, TP.HCM",4350000.0,94.56,Nhà hẻm,4.25m,10.8m,Tây Bắc,2.0,1.0,2.0,46m²,92m²,1.75m,,
WPXQDR,"439/6 Nguyễn Văn Khối, P.8, Q.Gò Vấp, TP.HCM",9000000.0,155.7,Nhà hẻm,3.95m,16.2m,Đông Nam,3.0,2.0,2.0,57.80m²,111.40m²,,,
DEW81H,"237/71/7/9 Lê Văn Khương, P.Hiệp Thành, Q.12, TP.HCM",3650000.0,98.91,Nhà hẻm,3.1m,11.85m,Tây Nam,3.0,2.0,2.0,36.90m²,73.80m²,1.99m,,
9TGF8P,"163/29/30 Tô Hiến Thành, P.13, Q.10, TP.HCM",2780000.0,226.01,Nhà hẻm,3m,4.17m,Tây Bắc,2.0,1.0,3.0,12.30m²,24.60m²,2.5m,,
RPRGNJ,"386/14 Quang Trung, P.10, Q.Gò Vấp, TP.HCM",7900000.0,171.36,Nhà hẻm,3.65m,12.99m,Tây Bắc,5.0,5.0,5.0,46.10m²,164m²,3.2m,,
