Ma_BDS,Dia_chi,Tong_gia (trieu),Tien_m2 (trieu/m2),Loại hình,Địa chỉ chi tiết,Hướng ban công,Số phòng ngủ,Số phòng tắm,Diện tích tim tường,Diện tích sử dụng,Nội thất,Tên dự án / tòa nhà,Tình trạng sử dụng
JT28D0,"Căn hộ số 4.09, tầng 5, Chung cư Thanh Niên Bàu Cát 2, P.14, Q.Tân Bình, TP.HCM",2600000.0,53.06,Căn hộ chung cư,"Căn 4.09, tầng 5",,2.0,1.0,49m²,,Đầy đủ,Chung cư Thanh Niên,
SHH395,"Tòa nhà Landmark Plus 720A Điện Biên Phủ, P.22, Q.Bình Thạnh, TP.HCM",12000000.0,149.81,Căn hộ chung cư,LP-31.04,Đông Bắc,2.0,2.0,80.10m²,70.60m²,Cơ bản,Vinhomes Central Park,Đang cho thuê
1UDGJ6,"Căn hộ 5.12 Chung cư Nhiêu Lộc C - Lô D Dương Văn Dương, P.Tân Quý, Q.Tân Phú, TP.HCM",2850000.0,40.25,Căn hộ chung cư,5.12,,2.0,2.0,70.80m²,,,Chung Cư Nhiêu Lộc C,
KFPESC,"Căn hộ 3.18 Chung cư Petroland số 2 đường 62, P.Bình Trưng Đông, TP.Thủ Đức, TP.HCM",3900000.0,53.13,Căn hộ chung cư,3.18,,2.0,2.0,73.40m²,,,Chung cư Petroland,
KFWRBC,"3.03 Chung cư 540/1 Cách Mạng Tháng 8, P.11, Q.3, TP.HCM",9750000.0,75.87,Căn hộ chung cư,3.03,,3.0,3.0,128.50m²,128.50m²,,Chung cư 540/1 Cách Mạng Tháng 8,
SBRF85,"Bùi Tư Toàn, P.An Lạc, Q.Bình Tân, TP.HCM",2850000.0,35.18,Căn hộ chung cư,A,Đông Nam,3.0,2.0,81m²,81m²,Cơ bản,Cao ốc An Lạc,Đang ở
JNM850,"Thuỷ Lợi, P.Phước Long A, TP.Thủ Đức, TP.HCM",3700000.0,58.54,Căn hộ chung cư,A-09-20,,2.0,2.0,63.20m²,,,Him Lam Phú An,
D4DRZH,"Căn hộ chung cư số 4.04, tầng 5, khối A, chung cư Vạn Gia Phúc (The Garden) số 295 Tân Kỳ Tân Quý, P.Tân Sơn Nhì, Q.Tân Phú, TP.HCM",5200000.0,65.0,Căn hộ chung cư,"4.04, tầng 5, khối A",,3.0,2.0,80m²,75.40m²,Đầy đủ,City Garden,
5K3RN7,"Căn hộ H10.04 Khu dân cư Happy Valley (R18), P.Tân Phong, Q.7, TP.HCM",11000000.0,110.11,Căn hộ chung cư,H10.04,,3.0,2.0,99.90m²,92.50m²,,Happy Valley,
AB8E6Y,"Chung cư Hoàng Quốc Việt, P.Phú Thuận, Q.7, TP.HCM",3100000.0,51.66,Căn hộ chung cư,12.08,,2.0,2.0,60m²,56.80m²,Đầy đủ,Chung cư Hoàng Quốc Việt,Đang ở
87RV83,"Tân Kỳ Tân Quý, P.Tân Sơn Nhì, Q.Tân Phú, TP.HCM",5000000.0,65.18,Căn hộ chung cư,,,3.0,2.0,76.70m²,,,Chung cư Vạn Gia Phúc (The Garden),
3AFM4Q,"9 Ngô Chí Quốc, P.Bình Chiểu, TP.Thủ Đức, TP.HCM",2880000.0,41.14,Căn hộ chung cư,A12,Đông Nam,2.0,2.0,70m²,70m²,Đầy đủ,FrescaRiverside,Đang ở
