ma_bds,address,total_price,price_per_m2,loại hình,chiều ngang,chiều dài,hướng cửa chính,số phòng ngủ,số phòng tắm,số tầng,diện tích đất công nhận,diện tích sử dụng,đường trước nhà,property_type,area_calculated,latitude,longitude,center_distance_km,địa chỉ chi tiết,diện tích tim tường,nội thất,tên dự án / tòa nhà,tình trạng sử dụng
0Z2RX9,"Thửa 1404 - tờ 12, đường Thạnh Lộc 41, P.Thạnh Lộc, Q.12, TP.HCM",4300000.0,83.01,Đất,5.26m,9.98m,Tây Bắc,,,,,,,land,51800.98783279123,10.779919675145353,106.69603982616121,0.3271494951150093,,,,,
GXNWX2,"Thửa 629 - tờ 52 Phạm Thới Quới, Xã Phú Mỹ Hưng, H.Củ Chi, TP.HCM",3600000.0,3.43,Đất,20m,51.99m,Đông Bắc,,,,,,,land,1049562.6822157435,11.011301602560001,106.50666401312068,33.13750901964169,,,,,
QA7N3U,"Thửa 29 - tờ 35 Hà Thị Kiểm, Xã Phú Mỹ Hưng, H.Củ Chi, TP.HCM",6800000.0,3.97,Đất,28.66m,59m,Tây Bắc,,,,,,,land,1712846.347607053,11.003598339282394,106.50099315946721,32.888461167862644,,,,,
6SU248,"Thửa 46 - tờ 17 đường số 729, Xã Trung Lập Thượng, H.Củ Chi, TP.HCM",3500000.0,9.07,Đất,11.28m,28.87m,Bắc,,,,,,,land,385887.5413450937,11.016150307129365,106.51462089675033,33.01536242429254,,,,,
PNTETG,"Thửa 539 - tờ 23 Trần Quang Đạo, Xã Tân Thông Hội, H.Củ Chi, TP.HCM",5900000.0,14.4,Đất,10m,40.75m,Đông Nam,,,,,,,land,409722.2222222222,11.01722201316014,106.50685485415866,33.63301017160059,,,,,
RGPDHJ,"Thửa 1047 - tờ 2 Hồ Văn Tắng, Xã Tân Phú Trung, H.Củ Chi, TP.HCM",2550000.0,7.17,Đất,10.96m,39.47m,Đông Nam,,,,,,,land,355648.5355648536,10.795873815179919,106.61459286129283,9.404169671297106,,,,,
7KHZRA,"Thửa 673 - tờ 2 ấp Cây Sộp, Xã Tân An Hội, H.Củ Chi, TP.HCM",1800000.0,10.6,Đất,5m,34.02m,Tây Bắc,,,,,,,land,169811.320754717,10.995967667229667,106.51030189799258,31.58400825938482,,,,,
7KH4QA,"Thửa 742 -  tờ 20 đường số 30, Xã Tân Thông Hội, H.Củ Chi, TP.HCM",2550000.0,19.12,Đất,5m,27.72m,Đông Nam,,,,,,,land,133368.20083682006,10.995319878094481,106.51386121783075,31.276539148079507,,,,,
J2GXU0,"Thửa 641 - tờ 38 Trương Thị Kiện, Xã Thái Mỹ, H.Củ Chi, TP.HCM",1400000.0,3.21,Đất,14m,31.41m,Đông Bắc,,,,,,,land,436137.07165109034,11.01526731721896,106.50808903775885,33.37993866236588,,,,,
GXNN52,"Thửa 562 - tờ 24 Lưu Khai Hồng, TT.Củ Chi, H.Củ Chi, TP.HCM",5900000.0,43.12,Đất,8.27m,15.8m,Đông,,,,,,,land,136827.4582560297,10.993272101981695,106.50672645150948,31.617496597400216,,,,,
6SUUQ8,"Thửa 691 - tờ 172 đường số 29, Xã Phước Vĩnh An, H.Củ Chi, TP.HCM",1800000.0,11.38,Đất,5m,32.4m,Tây Bắc,,,,,,,land,158172.23198594025,11.009135476636997,106.50737151191446,32.903429584317216,,,,,
RGP9PJ,"Thửa 577 - tờ 32 Đỗ Đăng Tuyển, Xã An Nhơn Tây, H.Củ Chi, TP.HCM",2150000.0,14.17,Đất,5m,30.51m,Đông Bắc,,,,,,,land,151729.00494001413,11.00824076204303,106.50673575920234,32.87161004224682,,,,,
