address,total_price,price_per_m2,area_calculated,latitude,longitude,center_distance_km
"578 Hoàng hữu nam, Tân Phú, Q.9, TP.HCM",18000000.0,121.45,148209.1395636064,10.783966622085472,106.61814240276584,8.858309091163918
"Thửa 588 -tờ 11 Giáp Hải, Xã Tân An Hội, H.Củ Chi, TP.HCM",3350000.0,20.04,167165.66866267467,10.994274306863826,106.48800825773904,33.093046526634396
"Thửa 983 - Tờ 27 Thạnh Lộc 16, P.Thạnh Lộc, Q.12, TP.HCM",3500000.0,64.81,54004.0117265854,10.76888027615485,106.6903080384322,1.5376853638903374
"Thửa 636 - tờ 40 Thạnh Lộc 03, P.An Phú Đông, Q.12, TP.HCM",4600000.0,66.37,69308.42248003616,10.787247669819148,106.69010155249602,1.278465025357276
"Thửa 693 - tờ 29 Trần Thị Cờ, P.Thới An, Q.12, TP.HCM",4200000.0,73.17,57400.574005740054,10.772721171411977,106.70657596033695,1.1366548925162623
"40 Đường 409, Xã Phước Vĩnh An, H.Củ Chi, TP.HCM",2030000.0,15.54,130630.63063063064,11.013915642418027,106.49338050102828,34.29539608393515
"Lê Văn Lương, P.Tân Phong, Q.7, TP.HCM",29000000.0,136.92,211802.51241600935,10.800179967160147,106.70110137128472,2.267319770941897
"Thửa 433 - tờ 9 Thạnh Xuân 25, P.Thạnh Xuân, Q.12, TP.HCM",4790000.0,50.79,94309.90352431581,10.766779444111492,106.70693655024037,1.6785950593696726
"Thửa 599 - tờ 26 đường số 10, P.Tân Tạo A, Q.Bình Tân, TP.HCM",6050000.0,60.5,100000.0,10.768725242533817,106.6113905117211,9.662655908219726
"49/1 TL 51, P.Thạnh Lộc, Q.12, TP.HCM",6730000.0,36.14,186220.2545655783,10.779290550464015,106.70896848854312,1.0885458548611822
"Thạnh Xuân 52, P.Thới An, Q.12, TP.HCM",3100000.0,58.38,53100.37684138403,10.784872738696054,106.70210759791954,0.655857769853282
"Thửa 581 - Tờ 10 Thạnh Lộc 29, P.Thạnh Lộc, Q.12, TP.HCM",5350000.0,89.31,59903.7061919158,10.763690825450768,106.68828902010607,2.1327744993908135
"Thửa 939 - Tờ 1 Thạnh Lộc 15, P.An Phú Đông, Q.12, TP.HCM",3700000.0,59.67,62007.709066532596,10.77423802456415,106.71150683568855,1.4963738634361186
"Thửa 540 - Tờ 36 An Nhơn Tây, Xã An Nhơn Tây, H.Củ Chi, TP.HCM",1550000.0,10.36,149613.89961389962,11.012582789029809,106.4946331758772,34.09431795288708
"Thửa 824 - Tờ 32 đường 716, Xã Trung Lập Thượng, H.Củ Chi, TP.HCM",6500000.0,6.63,980392.1568627451,11.008115783941898,106.49355768780205,33.80081448976379
"Thửa 972 - tờ 47 Thạnh Lộc 15, P.An Phú Đông, Q.12, TP.HCM",3800000.0,54.2,70110.70110701106,10.778266658440701,106.71565224979636,1.8259038918649748
"Thửa 636 - tờ 86 Thạnh Xuân 24, P.Thới An, Q.12, TP.HCM",3750000.0,71.42,52506.30075609073,10.785525870803365,106.69783062441749,0.6483778244061066
"198/12/40 Thạnh Lộc 15, P.Thạnh Lộc, Q.12, TP.HCM",3950000.0,48.46,81510.52414362361,10.782340223891241,106.70961165940196,1.1915156980545238
"Trần Thị Dương, Dĩ An, Dĩ An, TP.HCM",9600000.0,25.73,373105.32452390203,10.828365643811853,106.71612260474683,5.689562839054846
"Thửa 563 - tờ 11 Thạnh Lộc 37, P.Thạnh Lộc, Q.12, TP.HCM",7600000.0,52.85,143803.21665089877,10.781030553455423,106.70019280113956,0.1876444592318486
"Thửa 505 - tờ 19 Ba Sa, Xã Trung Lập Hạ, H.Củ Chi, TP.HCM",2550000.0,8.23,309842.04131227214,10.99231278135079,106.51650539198712,30.83593909084358
"Nguyễn Du, P.7, Q.Gò Vấp, TP.HCM",4900000.0,124.61,39322.68678276222,10.833215342304731,106.68519953969795,6.100515424034905
"Thửa 856 - tờ 28 Thạnh Xuân 25, P.Thạnh Xuân, Q.12, TP.HCM",5200000.0,38.29,135805.6933925307,10.762816839210576,106.71640425168509,2.671046884236872
"MPN 141/52/13 Thạnh Lộc 19, P.Thạnh Lộc, Q.12, TP.HCM",3650000.0,69.25,52707.58122743682,10.775180141639296,106.70334625825555,0.6946192311850142
